DATE,CPI
1960-01-01,-0.340136054
1960-02-01,0.341296928
1960-03-01,0
1960-04-01,0.340136054
1960-05-01,0
1960-06-01,0.338983051
1960-07-01,0
1960-08-01,0
1960-09-01,0
1960-10-01,0.675675676
1960-11-01,0
1960-12-01,0
1961-01-01,0
1961-02-01,0
1961-03-01,0
1961-04-01,0
1961-05-01,0
1961-06-01,0
1961-07-01,0.67114094
1961-08-01,-0.333333333
1961-09-01,0.334448161
1961-10-01,0
1961-11-01,0
1961-12-01,0
1962-01-01,0
1962-02-01,0.333333333
1962-03-01,0
1962-04-01,0.332225914
1962-05-01,0
1962-06-01,0
1962-07-01,0.331125828
1962-08-01,0
1962-09-01,0.330033003
1962-10-01,0
1962-11-01,0
1962-12-01,0
1963-01-01,0
1963-02-01,0
1963-03-01,0.328947368
1963-04-01,0
1963-05-01,0
1963-06-01,0.327868852
1963-07-01,0.326797386
1963-08-01,0
1963-09-01,0
1963-10-01,0.325732899
1963-11-01,0
1963-12-01,0.324675325
1964-01-01,0
1964-02-01,0
1964-03-01,0
1964-04-01,0
1964-05-01,0
1964-06-01,0.323624595
1964-07-01,0.322580645
1964-08-01,-0.321543408
1964-09-01,0.322580645
1964-10-01,0
1964-11-01,0.321543408
1964-12-01,0
1965-01-01,0
1965-02-01,0
1965-03-01,0.320512821
1965-04-01,0.319488818
1965-05-01,0
1965-06-01,0.636942675
1965-07-01,0
1965-08-01,0
1965-09-01,0
1965-10-01,0.316455696
1965-11-01,0
1965-12-01,0.315457413
1966-01-01,0
1966-02-01,0.628930818
1966-03-01,0.3125
1966-04-01,0.62305296
1966-05-01,0
1966-06-01,0.309597523
1966-07-01,0.308641975
1966-08-01,0.615384615
1966-09-01,0
1966-10-01,0.611620795
1966-11-01,0
1966-12-01,0
1967-01-01,0
1967-02-01,0
1967-03-01,0.303951368
1967-04-01,0.303030303
1967-05-01,0.302114804
1967-06-01,0.301204819
1967-07-01,0.3003003
1967-08-01,0.299401198
1967-09-01,0.298507463
1967-10-01,0.297619048
1967-11-01,0.296735905
1967-12-01,0.295857988
1968-01-01,0.589970501
1968-02-01,0.293255132
1968-03-01,0.292397661
1968-04-01,0.29154519
1968-05-01,0.290697674
1968-06-01,0.579710145
1968-07-01,0.576368876
1968-08-01,0.286532951
1968-09-01,0.285714286
1968-10-01,0.56980057
1968-11-01,0.283286119
1968-12-01,0.282485876
1969-01-01,0.281690141
1969-02-01,0.561797753
1969-03-01,0.837988827
1969-04-01,0.55401662
1969-05-01,0.275482094
1969-06-01,0.549450549
1969-07-01,0.546448087
1969-08-01,0.543478261
1969-09-01,0.27027027
1969-10-01,0.539083558
1969-11-01,0.536193029
1969-12-01,0.533333333
1970-01-01,0.265251989
1970-02-01,0.529100529
1970-03-01,0.526315789
1970-04-01,0.785340314
1970-05-01,0.25974026
1970-06-01,0.518134715
1970-07-01,0.515463918
1970-08-01,0
1970-09-01,0.512820513
1970-10-01,0.510204082
1970-11-01,0.507614213
1970-12-01,0.505050505
1971-01-01,0
1971-02-01,0.251256281
1971-03-01,0.250626566
1971-04-01,0.25
1971-05-01,0.498753117
1971-06-01,0.744416873
1971-07-01,0.246305419
1971-08-01,0.245700246
1971-09-01,0
1971-10-01,0.245098039
1971-11-01,0
1971-12-01,0.488997555
1972-01-01,0
1972-02-01,0.486618005
1972-03-01,0.242130751
1972-04-01,0.241545894
1972-05-01,0.240963855
1972-06-01,0.240384615
1972-07-01,0.479616307
1972-08-01,0.238663484
1972-09-01,0.238095238
1972-10-01,0.475059382
1972-11-01,0.236406619
1972-12-01,0.235849057
1973-01-01,0.235294118
1973-02-01,0.704225352
1973-03-01,0.932400932
1973-04-01,0.692840647
1973-05-01,0.688073394
1973-06-01,0.683371298
1973-07-01,0.226244344
1973-08-01,1.805869074
1973-09-01,0.22172949
1973-10-01,0.884955752
1973-11-01,0.657894737
1973-12-01,0.653594771
1974-01-01,0.865800866
1974-02-01,1.287553648
1974-03-01,1.271186441
1974-04-01,0.418410042
1974-05-01,1.25
1974-06-01,0.823045267
1974-07-01,0.816326531
1974-08-01,1.214574899
1974-09-01,1.2
1974-10-01,0.988142292
1974-11-01,0.782778865
1974-12-01,0.776699029
1975-01-01,0.385356455
1975-02-01,0.767754319
1975-03-01,0.380952381
1975-04-01,0.379506641
1975-05-01,0.56710775
1975-06-01,0.751879699
1975-07-01,1.119402985
1975-08-01,0.184501845
1975-09-01,0.552486188
1975-10-01,0.549450549
1975-11-01,0.72859745
1975-12-01,0.361663653
1976-01-01,0.18018018
1976-02-01,0.35971223
1976-03-01,0.17921147
1976-04-01,0.357781753
1976-05-01,0.713012478
1976-06-01,0.530973451
1976-07-01,0.528169014
1976-08-01,0.525394046
1976-09-01,0.348432056
1976-10-01,0.520833333
1976-11-01,0.172711572
1976-12-01,0.344827586
1977-01-01,0.515463918
1977-02-01,1.025641026
1977-03-01,0.676818951
1977-04-01,0.840336134
1977-05-01,0.5
1977-06-01,0.663349917
1977-07-01,0.494233937
1977-08-01,0.327868852
1977-09-01,0.326797386
1977-10-01,0.325732899
1977-11-01,0.487012987
1977-12-01,0.323101777
1978-01-01,0.644122383
1978-02-01,0.64
1978-03-01,0.79491256
1978-04-01,0.788643533
1978-05-01,0.938967136
1978-06-01,1.085271318
1978-07-01,0.766871166
1978-08-01,0.456621005
1978-09-01,0.757575758
1978-10-01,0.902255639
1978-11-01,0.44709389
